본문,label
"유안타증권인플레이션과 정책금리 인상이 채권시장의 중요 변수로 부각되고 있지만, 장기금리는 이미 물가 영향력이 약화되고 있다.",1
"금리상승에 대한 우려가 큰 편이지만, 6월부터 장기금리는 하락하고 있으며, 10년물 국채 수익률은 2%대로 다시 하락하였다.Fed 금리는 50bps를 넘어 75bps, 100bps 인상될 것으로 기대되고 있다.",0
"인상 폭은 크지만, Fed 금리는 이제야 2% 대로 상승한다.",1
"장기금리 동향과 주변 환경을 고려할 때, 정책금리 인상 폭은 채권시장 수급에 크게 영향을 주기 어려울 것이다.선물시장에 반영된 연준 정책금리에 대한 기대는 3%대에서 추가 인상 가능성은 낮아졌으며, 내년에는 인하 기조로 전환되고 있다.",0
이는 기대인플레이션과 장기금리 하락 요인을 반영한 것이다.,0
"7월 FOMC에서 Fed금리가 2%대에 진입한 후에 단기자금 조달 여건과 신용위험 변화를 지켜볼 필요가 있다.정책금리 인상이 실질적으로 유동성 긴축으로 작동하기 보다는, 단기자금 조달을 자극할 수 있어, 신용과 장기 금리 스프레드의 안정을 기대할 수 있는 국면이다.",1
"시중은행 자본 여력에 비해 자산이 크게 확대되면서, 시중예금에서 이탈한 자금은 단기자금 시장으로 유입되었다.만약 점진적으로 금리인상이 진행되면, 시중 유동성을 긴축시키는 효과가 크지 않았을 것이다.",1
"3%대의 자금 펀딩 코스트가 어떠한 경로로 상승할 것인지 에상된다면, 만기 1년 내외 국채금리는 4.0%선을 넘기 어려웠을 것이다.통화긴축 시기에는 금융기관들의 자금 조달 비용이 상승하고 영업환경도 악화된다.",1
"원화 환율이 1,400원대로 상승하고 장기 국채 금리가 4%대로 상승하는 등 국내 금융시장도 영향을 크게 받고 있다.",1
"유안타증권자금 여건 개선 움직임과 내재된 불안 요인 점검정책금리 인상과 단기금리 상승세가 이어지고 있지만, 장기금리는 지난 6월에 비해 낮은 수준에서 등락하고 있다.",1
"다만 금리 하락세로 반전되었다고 보기는 어렵고, 단기 등락하는 양상이다.",0
"특히 지정학적 리스크에 따라 경제 권역별로 인플레이션 기대와 자금 여건이 차별화가 되고 있다.연준의 정책금리 인상이 진행되면서, 시중자금 조달 여건은 점차 안정될 것이다.",1
"유안타증권인플레이션과 정책금리 인상이 채권시장의 중요 변수로 부각되고 있지만, 장기금리는 이미 물가 영향력이 약화되고 있다.",1
"금리상승에 대한 우려가 큰 편이지만, 6월부터 장기금리는 하락하고 있으며, 10년물 국채 수익률은 2%대로 다시 하락하였다.Fed 금리는 50bps를 넘어 75bps, 100bps 인상될 것으로 기대되고 있다.",0
"인상 폭은 크지만, Fed 금리는 이제야 2% 대로 상승한다.",1
"장기금리 동향과 주변 환경을 고려할 때, 정책금리 인상 폭은 채권시장 수급에 크게 영향을 주기 어려울 것이다.선물시장에 반영된 연준 정책금리에 대한 기대는 3%대에서 추가 인상 가능성은 낮아졌으며, 내년에는 인하 기조로 전환되고 있다.",1
이는 기대인플레이션과 장기금리 하락 요인을 반영한 것이다.,0
"7월 FOMC에서 Fed금리가 2%대에 진입한 후에 단기자금 조달 여건과 신용위험 변화를 지켜볼 필요가 있다.정책금리 인상이 실질적으로 유동성 긴축으로 작동하기 보다는, 단기자금 조달을 자극할 수 있어, 신용과 장기 금리 스프레드의 안정을 기대할 수 있는 국면이다.",1
"유안타증권장기금리가 단기간에 크게 상승하고 변동폭이 커졌으며, 금리 향방을 가늠하기 어려워졌다.",1
"신용화폐 시스템에서 시중은행의 보유 현금이 많은 경우에는, 전통적 통화정책이 시중 유동성에 미치는 영향력은 기대한 만큼 크지 않다.한국은행 기준금리는 선제적으로 인상되었으나, 원화 환율은 상대적으로 상승폭이 큰 편이다.",1
"원화 유동성 긴축 효과보다는 달러 부족에 따라 환율이 상승하고, 원화 금리 변동성 확대로 이어지고 있다.인플레이션은 공급망 문제로 촉발된 후 우크라이나 전쟁 여파로 심화되었다.",1
유안타증권작년 하반기부터 진행되고 있는 시중금리 상승세는 크게 2가지 변수의 영향력이 크게 작용하고 있다.,1
"기대인플레이션이 단기간에 크게 상승하였고, 이에 따른 장기금리 상승에 비해서 정책금리, 자금 조달 금리가 상대적으로 낮은 수준이 유지되었던 점이다.인플레이션에 의한 명목 장기금리 상승으로 단기자금 금리 커브는 스티프닝이 심화되었다.",1
"연준 정책금리 결정과 기대에 따라 장기금리 변동성이 커지는 것은 펀딩 여건의 변화와 연관되어 있다.장기금리 상승에 따라 채권의 이자수익에 대한 매력이 높아졌지만, 자금 여건의 부담은 채권 투심을 위축시키고 있다.",1
"실질금리 상승은 위험자산의 유동성 장세를 약화시키며, 상대적으로 안전자산이 선호된다.단기자금 펀딩 여건은 정책금리 인상과 기대인플레이션 상승 둔화를 통해 안정될 것이다.",1
유안타증권대내외 장기금리가 상승세를 지속하고 변동성도 확대되었다.,1
"1)유가와 기대인플레이션이 단기간에 크게 상승하면서, 채권 금리에 반영되었다.",0
"연준의 정책금리는 인상 타이밍을 놓쳤던 점이 있어, 단기간에 금리 인상 폭이 크고, 향후 정책 경로에 대한 기대가 명확해질 수록 채권시장 수급이 안정될 것이다.",1
"유안타증권장기금리가 단기간에 크게 상승하면서, 금융시장의 유동성 환경에 대한 우려가 커지고 있다.",1
"국고10년 금리는 연초부터 상승세를 이어가며, 3%대에 진입하였다.",1
"금리 등락의 불안은 기대물가가 크게 상승하였고, 연준의 정책금리 인상이 더디게 진행되었던 점이 작용한 것으로 보인다.물가안정을 위해 Fed금리가 뒤늦게 크게 인상될 것으로 기대되는 점은 채권금리의 기간 구조에 영향을 주고 있다.",1
"특히 단기금리 상승폭이 커지면서, 장단기 금리 스프레드가 빠르게 축소되었고, 향후 경기회복세 둔화 가능성이 제기되기도 한다.장기금리는 장기 성장성을 내포하는 부분이 있지만, 명목 금리는 실질 성장률 뿐 아니라, 물가 기대도 반영되어 있다.",1
2020년 하반기부터 장기금리는 상승세가 가시화되었다.,1
"상대적으로 실질금리가 크게 하락하면서, 실물경제 측면에서 금리는 낮은 수준인 것으로 평가할 수 있다.",0
"안전자산 선호와 유가 상승에 따라 기대인플레이션을 자극하면서, 금리 구조에 영향을 미치고 있다.",1
"한국은행 기준금리가 선제적으로 인상되었는데, 대외 요인에 의한 인플레이션 압력은 지속되고 있다.",1
"기준금리 인상에 비해서 국고채 2,3년 구간의 금리 상승 폭은 상대적으로 큰 편이다.",1
"스태그플레이션 우려가 부각되면, 실질금리 하락세로 명목금리 상승 압력은 약화된다.",0
"물가에 대한 채권시장의 우려가 커지는 가운데, 유가 상승과 공급망 충격에 의한 물가 상승세가 예상보다 지속될 것으로 기대되고 있다.",0
이때 기대인플레이션 상승 압력은 약화되는 반면 실질금리는 상승하게 될 것이다.,1
"기대물가 안정되는 국면에서도 실물경기 동향에 따라 명목금리의 상승세가 나타날 수 있다.연준 테이퍼링 가시화는 단기자금 여건에 미치는 영향은 크지 않으며, 단기자금 조달금리는 낮게 유지된다.",0
이에 따라 장기금리 상승 리스크를 헤지하는 포지션은 비용이 점증하게 된다.,1
"비용 부담으로 인해, 인플레이션 상승 우려를 반영한 금리 리스크 관리 포지션은 단기 이슈에 따라 언와인딩되는 패턴을 보인다.단기자금 조달 비용이 큰 변화를 보이지 않는 한, 단기 이슈에 따라 장기금리 반락이 시도되는 등락이 이어질 것이다.",1
"실물경제 활동성이 회복되고 자금 수요가 증가하면서, 실질금리가 상승할 때, 장기금리 추세적 상승세가 본격화될 것이다.",1
"첫번째 이야기- 통화정책은 은행 시스템을 통해 유동성을 조절한다.2021년 장기금리는 변동성이 확대되었고, 상승 압력도 높아졌다.",1
하지만 상업은행 시스템을 통해서 채권시장 수요가 안정될 여지가 있다.향후 정책금리 인상 시점에 대한 시장의 관심도 높은 편이다.,1
은행들이 보유한 현금 보유액과 대출을 통한 신용팽찰 강도에 따라 정책금리 인상 시기가 특정될 것이다.,1
"유안타증권채권/외환시장 제대로 이해하기 위한, 조금 어려운 이야기 … .국고10년 금리는 9월 들어 2%대로 상승하였으며 상승폭이 확대되고 있다.",1
"하반기 들어 주요국 통화정책 변화 가능성이 높아졌고, 한국은행의 기준금리 인상이 가시화되면서 채권 투자 심리가 위축되는 점이 있다.",1
"공급망 문제가 해결되기 어려워지면서, 인플레이션 상승에 대한 우려가 커진 점도 장기채권 투자심리를 약화시켰다.원화금리가 상승하는 과정에서 다른 국가들의 금리 흐름과는 차별화되는 특징적인 점이 있다.",1
장기물 뿐만 아니라 만기 2년 내외 단기구간에서의 금리 상승세도 강한 편이었다.,1
"이 과정에서 상대적으로 원화 환율 상승폭이 크게 나타난 점도 주목할 변수이다.한국은행이 선제적으로 유동성 긴축에 나선 부분이 있었고, 수급적으로는 외국인 주도로 원화채권의 익스포저를 축소한 점이 원화 금리와 환율 변동성을 확대시킨 것으로 보인다.",1
"외국인발 수급 불안에 의해 역내 채권 투자자들의 포지션 관리가 어려워 지고 있다.원화 금리 상승이 오버슈팅된 것으로 평가할 수 있는데, 외국인 선물 매도세가 진정되지 않는 한 채권시장의 수급력이 회복되기 어려워 보인다.",1
"국내 채권시장의 투자자 동향과 금리구조를 고려하면, 8월 금통위 회의를 통해 금리 상승 압력이 높아질 가능성은 크지 않다.",0
유안타증권거시지표 회복세와 인플레이션 압력에 따라 상승세를 보였던 장기금리는 하반기에는 반락하였다.,0
"8월 들어서 장기금리는 기술적 하단에서 반등을 시도하였으나, 상승 추세로 전환되지는 않고 있다.",0
"통화정책 정상화 과정에서 연준의 테이퍼링과 정책금리 인상 가능성이 점쳐지고 있는 점도 금리 등락에 영향을 주고 있다.실물과 금융 경제의 불균형이 심화되면서, 통화정책 결정 과정은 점차 어려워지고 있다.",1
"올해 들어 연준의 통화정책은 시중은행에 대한 레버리지 확대를 억제하고 있는 가운데 자산 매입은 지속하면서, 시중 단기자금 공급은 확대되고 있다.연준의 B/S를 원활하게 관리하기 위해서는, 자산매입 중단과 정책금리 인상의 수순이 불가피한 점이 있다.",1
"이는 장기금리 상승보다는 하락 요인이 되고 있다.시중은행의 자산 증가세가 억제되고 있어, 연준의 통화정책은 단기자금 시장에 미치는 영향력이 상대적으로 커지게 되었다.",0
단기자금 관리 정책은 일반적으로 단기금리 상승 요인으로 작용하는 경향이 있다.,1
"하지만 디레버리징이 진행될 때, 유동성 관리는 단기금리 상승 강도를 약화시킬 수 있다.",0
"6월 FOMC회의에서 IOER, RRP금리를 5bps 인상하였고 연준 자산 매입 규모는 월 $1,200억 규모를 유지하였다.연준의 주요 부채 계정이 감소하지 않는 구조에서 RRP를 통해 단기자금을 흡수하려면, 자산 매입을 지속해야 한다.",1
"유안타증권상반기 장기금리 상승세가 이어진 가운데, 금리 구조에서 몇 가지 특징적인 현상을 발견할 수 있다.",1
"신용 프리미엄이 안정적인 것은, 장기금리 불안에도 불구하고, 채권시장 전반의 자금 여건은 양호하다는 것을 의미한다.기대물가 상승과 실질금리 하락이 병행하는 것은 거시지표 호전과 경기회복 기대만으로 설명될 수 없는 현상이다.",0
경제여건 호전에 대한 기대는 자금 차입수요 증가로 실질금리 상승을 통해 명목금리도 상승하는 것이 일반적인 패턴이었다.,1
특히 경제 충격과 회복 과정에서 통화와 유동성의 다른 움직임은 장단기 금리 구조 변화로도 이어진다.연준이 자산을 축소하는 테이퍼링은 ‘긴축’으로 해석되는 경향이 있다.,1
"테이퍼링은 본원통화는 축소되나, 시중 유동성은 확대될 때 나타나는 현상이다.",1
"증시에서도 장기금리 상승세가 지속되면서, 우려의 시각이 높아진 점이 있다.",1
하지만 금리 상승세에 대한 우려에 비해 대내외 주가지수의 흐름은 안정적인 흐름을 보이고 있다.지난 3월에 뉴욕 증시에서는 헤지펀드 발 블록딜 등 수급과 밸류에이션 우려가 제기된 적이 있다.,1
장기금리 상승세와 다르게 3월의 자금 여건은 호전되는 양상이었다.,0
"채권시장에서는 자금 여건보다는 구조적인 장기채권 매도가 작용하면서, 장기금리 상승 요인이 되었을 가능성이 크다.",1
장기금리 상승에 따라 장기채권에 대한 밸류에이션 매력은 높아지게 되었다.,1
유안타증권연초 장기금리 상승세는 기대물가 요인이 부각되었다.,1
"하지만 상대적으로 실질금리가 낮은 수준을 유지하고 있어, 금리 등락의 불안한 구조는 지속되고 있다.코로나19로 실물경제 활동에 제약이 컸었고, 완화적 경제정책이 확대되었다.",0
금융 섹터에 공급된 통화는 명목과 실질금리 하락 요인이 되었다.,0
"실물 경제의 자금 수요 증가는 실질/명목 금리 상승으로 이어진다.실물경제의 자금수요와 신용 확대에 따른 실질금리 상승에 대해, 통화정책의 대응 수단은 제약적이다.",1
"장기금리 상승 속도가 금융시장에 부담이 되고 있는데, 장기물 금리 제어를 위한 정책은 단기금리 상승 요인으로 작용하여, 수익률곡선은 플래트닝 압력이 커지게 된다.중앙은행의 국채 매입은 금리안정을 위한 단순한 정책으로 인식되고 있다.",1
"유안타증권주요국 장기금리는 주요 기술적 상단을 상향하면서, 중기 추세상 금리 상승 가능성이 높아지고 있다.",1
"연초 채권시장에 나타난 채권시장의 특징은 1)단기금리는 안정적인 가운데, 장단기 금리 스프레드가 확대되고 있고, 2)신용 스프레드가 하락하면서, 위험선호가 반영되고 있다는 점이다.장기금리 상승은 기대인플레이션 우려가 반영된 것으로 해석할 수 있다.",1
"장기채권 시장에서만 단기채와 회사채에 비해 유동성 장세의 영향이 나타나지 않는 것이다.통화완화 정책은 실물경기 회복 이전에는 금융기관의 자금 여건을 개선시키고, 단기 유동성 공급을 확대한다.",0
"이에 따라 단기금리 하락 압력이 강해졌고, 단기물 중심으로 수익률곡선의 스티프닝이 심화된 것으로 볼 수 있다.",0
장기금리의 추세 상승 속에서도 단기자금 변화 요인을 유의 깊게 살펴야 할 것이다.,1
"작년 하반기부터 장기금리가 완만한 상승세를 보여왔고, 코로나 충격 이전의 10년물 금리가 1% 중반대였던 점을 고려하면 아직 금리는 낮은 수준을 유지하고 있다.",1
"주요국가의 장기국채 금리도 추세적인 흐름이 크게 변한 것으로 보이지 않는다.0%대에서 1% 라는 상징적인 부분이 있고, 장기국채 시장에 반영된 기대물가 상승과 실질금리 하락이 장기금리 등락의 불안 요인이 되고 있다.",0
"첫 번째는 연준의 완화적 통화정책에 따라 통화공급이 증가한 후, 시중 유동성이 팽창하는 구조에서 연준 부채 계정의 변화를 강조하였다.",0
경기 위축을 방어하기 위한 유동성 완화는 자본주의 금융시스템 하에서는 경제주체들의 부채 확대를 의미한다.,0
"적자국채 발행이 늘어나면서, 채권시장의 수급 부담이 커질 수 있고, 재정지출에 따른 총수요 증가는 인플레이션과 장기금리 상승 요인이 된다.",1
경상 흑자국들의 선진국 국채 매입은 장기금리 상승 압력을 약화시킨다.,1
"유안타증권대내외 증시가 코로나19 충격 이전의 주가 수준으로 회복을 시도하고, 재정확대에 따른 국채 공급량 증가를 반영해 장기금리는 상승 압력이 높아지고 있다.",1
단기자금이 주도하는 증시 강세장에서 금리 상승 추세가 이어질 것으로 보이지 않는다.,0
이 과정에서 기대물가와 위험선호도의 변화로 장기금리는 상승세가 강화될 것이다.당분간은 장기금리가 추세적으로 상승할 가능성보다는 레인지 등락 관점에서 접근해 볼 필요가 있다.,1
"유안타증권연초에 거시지표 회복세와 증시 강세, 장기채권 수급 불안에 따라 장기금리는 상승 압력이 높았었다.",1
"하지만 신종코로나바이러스 우려가 커지면서, 국고10년물 금리는 연초 상승 분을 반납하고, 연말 금리 수준으로 하락하였다.",0
"연준은 IOER 금리를 소폭 인상하였고, 레포시장 자금 공급도 축소하였다.",1
"연준 자산은 다시 $4조대로 확대되고 있으며, 양적완화 재개로 해석되면서, 금리 하향안정세가 이어질 것이란 기대도 높은 편이다.",0
내년 상반기에는 원유 가격 상승폭에 따라 장기금리 등락폭에도 영향을 미칠 것이다.신용시장에서는 유가의 안정적인 등락에도 불구하고 셰일 오일 업체들의 금리가 상대적으로 높은 수준을 보이고 있다.,1
유안타증권지난 8월에 1.1%였던 국고10년물 금리는 1.8%대로 상승폭을 확대하였다.,1
수급 불안에 따른 장기금리 상승 여파로 한미간 장기금리 역전 폭은 축소되었다.,1
스왑 스프레드 확대와 연준의 유동성 공급 정책을 기대해 스프레드 축소를 기대했던 포지션은 손절이 불가피했을 것이다.,1
다만 거시경제 환경이 안전자산 선호를 약화시키고 있어 장기금리 중기 추세는 상승 쪽으로 전환될 것이다.,1
그만큼 국내 채권시장은 대외금리와 유동성 여건에 대한 민감도가 높아졌다.경기둔화와 물가상승 압력이 낮은 점이 시중금리 하락 요인이 되고 있다.,0
"Repo 금리는 상승폭이 커졌으며, 단기국채 금리도 변동성이 커지고 있다.",1
"하지만 달러 유동성 여건이 위축되는 흐름이 전개된다면, 환율이 크게 상승하면서 장기금리도 하락압력이 강해지는 패턴이 전망된다.",0
"하지만 실질적으로 통화정책이 완화기조를 유지하고 있으며, 이에 따른 유동성 효과가 금융시장에 반영되고 있는 것으로 보임.중앙은행의 정책 스탠스는 자산 규모보다는 부채 구조의 변화를 살펴봐야 함.",0
"연준의 정책금리 인상으로 벤치마크 금리가 상승하였지만, 시중의 자금차입 여건은 오히려 호전.",1
"신용 프리미엄이 크게 축소되면서, 시중의 실질적인 자금 차입비용은 하락 양상.하지만 신용 스프레드 하락세가 둔화되면서, 이제부터 정책금리 인상은 자금차입 비용 상승과 유동성 긴축으로 이어져.",1
ECB의 채권 매입 강도도 축소 계획으로 올해 4분기에는 긴축정책의 영향이 가시화될 전망.,1
"두 경우 모두 장기금리 상승 압력은 약화될 수 밖에 없으며, 장기금리는 하향안정.인플레이션 압력 낮은 상황에서, 유동성 환경은 완화적으로 유지될 가능성이 높음.",0
하지만 외국인 변수에 비해서 원화 장기금리 상승 압력은 강하지 않은 편이다.-외국인 입장에서 원화채권은 금리 매력이 높은 편이다.,0
"유안타증권FX스왑마진이 하락하면서, 외화채권 투자의 수익성이 약화되고 있다.",0
"이전의 신용위험은 완화기조를 보였기 때문에, 연준의 금리인상에도 불구하고 시중 유동성 여건은 완화적이었다.",1
이는 장기금리 상승 압력을 약화시키는 변수가 될 것이다.,0
"이는 우리나라 채권시장의 수급 구조의 특징에 따른 변화이며, 향후 수급 구조는 안정될 것으로 전망-통화정책 긴축에 대한 우려가 있지만, 시중 유동성 흐름은 대체로 완화적 기조를 반영 중.",1
"금리 변동성이 낮고, 장단기 및 신용 스프레드가 낮아지면서, 장기금리가 크게 하락할 가능성도 염두해야",0
"FX스왑 상승은 원화금리 인상을 반영한 것으로 볼 수 있으나, Fed금리 인상도 기대되는 점을 고려해야 한다.",1
"내년 초까지 거시지표가 둔화될 가능성이 있고, 시중 유동성은 완화적인 환경이 유지될 것으로 보인다.",0
"유안타증권- 원화 장기금리는 다른 나라에 비해 상승폭이 큰 편이나, 초장기물 금리는 상대적으로 안정되어 커브 역전 현상이 나타나기 했었다.",1
"한국 소버린 스프레드는 올해 상승세를 지속하였으나, 유동성 여건은 대체로 안정적이었다.",1
"소버린 스프레드 상승에도 불구하고 스왑시장이 안정되면서, 원화 로컬 금리 상승 요인으로 작용하였다.- 아시아 채권시장의 위험 프리미엄은 대체로 축소되는 흐름을 보였다.",1
"-6월말 통화정책 긴축 우려로 장기금리는 상승하였지만, 하반기에 금리는 안정되고 있다.",0
"통화완화 기조가 지속될 것으로 기대되고 있으며, 유동성 환경이 호전되면서 장기채권 수급력은 안정될 것이다.-외국인은 6월에는 현선물 동반 매도세를 보였지만, 7월 들어 장기채권 매수를 확대하고 있다.",0
"증시 강세는 위험선호에 따라 장기금리 상승 요인으로 작용하나, 하반기 증시강세는 금리 안정 기대를 반영한다고 볼 수 있다.",1
"국내는 지정학적 리스크가 작용하고 있지만, 유동성 여건에 충격을 줄 정도는 아니며, 단기적인 리스크 헤징 움직임만 나타나고 있다.- 안전/위험 자산 선호가 공존하면서 장기금리 하락세도 둔화되고 있다.",1
"-FOMC회의 후 장기금리는 하락하였으나, 기술적 하단에서 정체된 등락을 보였다.",0
1분기에 고조된 기대심리가 2분기 실적 확인으로 이어질 것인지는 장기금리 방향성에 중요한 변수가 될 것이다.-채권시장에 반영된 에너지 섹터의 신용 리스크를 감안하면 유가의 상승 압력은 크지 않은 편이다.,1
"실적 확인 전까지 장기금리 변동성 축소 국면이 지속되는 것은 불가피하지만, 장기금리 하향안정 가능성은 높은 편이다.",0
하지만 증시에 반영된 위험선호 움직임은 장기금리 하락 요인을 약화시키고 있다.- 올해 들어 외국인은 베이시스 스왑 리스크에 대응해 국채선물 매도헤징을 확대하였다.,1
공급측 물가상승 요인이 약화되는 구조라 총수요 회복 지속 여부가 장기금리 추세에 중요한 변수가 될 것이다.,1
"-Fed금리 인상 이후 장기금리 상승 폭이 확대되었으며, 금리인상 속도가 강해질 것이란 우려도 제기되었다.",1
"기대물가를 반영하는 과정에서 장기금리 상승 압력이 커졌으며, 정책금리 인상에도 불구하고 단기에 비해 장기금리 상승폭이 상대적으로 큰 편이었다.-원자재 시장과 유가의 기저효과는 내년 초 장기금리 흐름에 있어 중요한 변수이다.",1
"완화적 스탠스가 이어질 것으로 보이며, 대내외 장기금리의 디커플링 현상은 불가피할 것이다.",0
원자재 시장 동향과 기대물가 상승은 장기금리가 레벨업 되는 요인으로 작용하였다.-달러강세와 이머징 금융시장의 불안 요인은 지속되기 어려워 보인다.,1
장기금리 상승 등으로 외화보다는 원화 장기채권 투자매력이 높아지게 되었다.-유가 상승으로 인플레이션 기저효과가 부각되고 있다.,1
-잠시 안정되는 듯 하였던 장기금리는 다시 상승하면서 국고10년 금리는 2.3%대 상승을 시도하기도 하였다.,1
"이러한 구조적인 불안은 선진국 통화정책의 긴축 강도를 약화시키는 요인이 될 것이다.-과거 2013년 테이퍼링 충격 때에도 유동성 환경의 불안이 있었지만, ECB 양적완화 등을 통해 시중금리는 점차 안정을 찾아갔었다.",0
국내 시장도 외화자금 조달 가산금리가 상승하는 등 유동성 불안 요인이 작용하고 있다.,1
"아직 이머징 시장의 충격은 국가별로 선별적으로 나타나고 있으나, 원화 환율 변동성이 확대되었고, CDS 프리미엄 상승, 스왑 베이시스 / 스프레드 하락 등으로 외화조달 가산금리 수준은 높아지고 있다.",1
하지만 반대로 원화채권의 가산금리 수준이 높아지면서 유동성 여건이 안정될 때에는 원화 장기금리 상승 압력을 둔화시키는 요인이 될 것이다.가산금리 수준이 높다는 것은 그만큼 자금 유출입에 대한 불안 요인이 커지는 것으로 해석될 수 있다.,0
"트럼프 충격이 장기금리 상승 요인으로 작용한 것으로 볼 수 있지만, 유가 등락에 따른 인플레이션 상승 요인이 있었으며, 최근 구리가격 상승 등 펀더멘털의 기대 변화도 작용하였다.",1
"월초부터는 장기금리 중심으로 상승하면서 장단기 스프레드가 확대되었으며, 신용스프레드도 상승하였다.",1
"인플레이션 우려와 위험자산 선호 가능성은 채권시장의 부담 요인이지만, 원자재 시장의 약세와 단기금리 구조 변화 가능성 등으로 장기금리 상승 압력은 둔화될 여지가 있다.",0
"장기금리 상승에 대한 리스크 부각은 우량 장기채권 수요 둔화로 이어졌으며, 우량물 신용 스프레드 확대 속에 회사채 투자도 위축되면서 신용채권의 위험 프리미엄이 상승하였다.시장 수급 동향에 비해 장기금리 상승 압력은 둔화되고 있으며, 외국인은 3년 국채선물 매도를 확대하였던 반면, 10년 선물은 순매도 포지션을 축소하고 있다.",0
"장기금리 기술적 반락은 현물채권 투자심리를 호전시킬 것이며, 신용 스프레드도 축소될 가능성이 높다.",0
MMF 규제를 앞두고 달러 Libor 금리는 상승을 재개하고 있다.,1
이전과 달리 단기금리 상승에 의한 커브 플래트닝 압력은 약화된 것으로 보인다.,0
대외금리 상승과 외국인 선물매도 확대로 장기금리는 크게 상승하였다.,1
"대외불안 요인과 분기말 수급 변수가 9월말 장기금리 하락 요인으로 작용하였지만, 10월초에 유가 반등 등 위험선호 회복과 기대물가 상승으로 장기금리 변동성이 커지게 되었다.?",0
유가 상승 등 원자재 가격 동향상 장기금리는 하방경직적인 흐름이 예상된다.,1
다만 아직 환율과 원자재 시장은 금리 상승추세로 확신할 만큼 변화를 보여주지는 못하고 있다.,1
하지만 기대 인플레이션 상승과 유가의 하방경직을 고려해 장기금리는 저점을 높여가는 흐름이 이어질 것이다.,1
- 유동성 안정과 금리옵션 변동성 축소로 장기금리는 하락하였다.,0
"또한 연준 인사들의 연설도 계획되어 있는데, 8월말 장기금리 상승의 요인이 되었던 피셔 부의장의 연설이 현지시각 7일 오전에 계획되어 있다.",1
- 한 주 사이에 채권시장의 분위기는 반전되면서 장기금리가 큰 폭 상승하고 있다.,1
"하지만 피셔 부총재의 금리 인상 시사 발언 이후, 금리 인상 가능성이 높아지면서 금융시장 변수들은 이전과 다른 패턴을 보이고 있다.",1
"하반기 들어 Libor 금리는 20bps 이상 상승세를 보였는데, 달러자금 부족과 캐리트레이딩 청산 움직임은 크지 않았다.",1
"5년 이상 장기 국고채 금리는 일 주일 사이에 10bps 이상 상승하였으며, 장기물의 한미간 금리 역전 폭도 축소되었다.",1
"신용 스프레드는 축소되는 움직임을 보이고 있는데, 대내외 금융시장의 위험선호 회복세를 고려한다면, 최근의 원화 금리 상승은 유동성 충격에 의한 것으로 볼 수는 없을 것이다.",1
"국가별로 통화정책과 유동성 환경은 다르게 전개되고 있으며, 달러화 대비 베이시스 스왑도 차별화된 흐름을 보이고 있다.- 원화 장기스왑베이시스 상승으로 원화금리는 오버슈팅된 것으로 볼 수 있다.",1
통화당국은 추가적인 유동성 완화보다는 장기금리 하락속도를 조절하는 데에 정책 관심이 높아질 수 밖에 없을 것이다.,1
"CDS 하락으로 원화채권은 저평가 매력이 높아졌으며, 단기 FX시장에서는 기준금리 인하 가능성도 반영되고 있다.",0
